Year,Category,Title,Type,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Note
2004,FRUIT,Blackberries,All Varieties,-,$/kg,,,,,,,3.26,3.24,3.61,5.06,,,
2004,FRUIT,Blackcurrants,All Varieties,-,$/kg,,,,,,,3.32,3.53,,,,,
2004,FRUIT,Cherries,Sweet Black,1st,$/kg,,,,,,1.69,1.72,3.68,,,,,
2004,FRUIT,Cherries,Sweet Black,2nd,$/kg,,,,,,1.11,1.08,,,,,,
2004,FRUIT,Cherries,Sweet Black,Ave,$/kg,,,,,,1.53,1.54,,,,,,
2004,FRUIT,Cherries,Sweet White,1st,$/kg,,,,,,1.53,1.56,,,,,,
2004,FRUIT,Cherries,Sweet White,2nd,$/kg,,,,,,,1.1,,,,,,
2004,FRUIT,Cherries,Sweet White,Ave,$/kg,,,,,,,1.47,,,,,,
2004,FRUIT,Cooking Apples,Bramley's Seedling,1st,$/kg,0.68,0.65,0.66,0.68,0.76,0.82,1.1,0.65,0.51,0.48,0.52,0.52,
2004,FRUIT,Cooking Apples,Bramley's Seedling,2nd,$/kg,0.44,0.45,0.39,0.42,0.54,0.58,0.66,0.49,0.37,0.33,0.36,0.37,
2004,FRUIT,Cooking Apples,Bramley's Seedling,Ave,$/kg,0.59,0.56,0.51,0.55,0.66,0.7,1.03,0.64,0.49,0.44,0.47,0.47,
2004,FRUIT,Damsons,All Varieties,1st,$/kg,,,,,,,0.99,0.98,0.78,,,,
2004,FRUIT,Damsons,All Varieties,2nd,$/kg,,,,,,,,0.55,0.69,,,,
2004,FRUIT,Damsons,All Varieties,Ave,$/kg,,,,,,,,0.98,0.76,,,,
2004,FRUIT,Dessert Apples,Cox's Orange-group,1st,$/kg,0.62,0.63,0.6,0.58,,,,,0.68,0.51,0.53,0.58,
2004,FRUIT,Dessert Apples,Cox's Orange-group,2nd,$/kg,0.4,0.4,0.4,0.42,,,,,0.39,0.33,0.3,0.33,
2004,FRUIT,Dessert Apples,Cox's Orange-group,Ave,$/kg,0.55,0.54,0.5,0.51,,,,,0.64,0.45,0.46,0.5,
2004,FRUIT,Dessert Apples,Discovery,1st,$/kg,,,,,,,0.75,0.51,0.37,,,,
2004,FRUIT,Dessert Apples,Discovery,2nd,$/kg,,,,,,,0.66,0.33,0.25,,,,
2004,FRUIT,Dessert Apples,Discovery,Ave,$/kg,,,,,,,0.74,0.48,0.32,,,,
2004,FRUIT,Dessert Apples,Egremont Russet,1st,$/kg,0.57,0.58,0.5,,,,,0.83,0.64,0.59,0.61,0.64,
2004,FRUIT,Dessert Apples,Egremont Russet,2nd,$/kg,0.44,0.48,,,,,,0.83,0.46,0.48,0.46,0.45,
2004,FRUIT,Dessert Apples,Egremont Russet,Ave,$/kg,0.54,0.55,,,,,,0.83,0.63,0.58,0.58,0.59,
2004,FRUIT,Dessert Apples,Spartan,1st,$/kg,0.33,,,,,,,,0.49,0.46,0.44,0.51,
2004,FRUIT,Dessert Apples,Spartan,2nd,$/kg,,,,,,,,,,0.34,0.3,0.28,
2004,FRUIT,Dessert Apples,Spartan,Ave,$/kg,,,,,,,,,,0.45,0.42,0.31,
2004,FRUIT,Dessert Apples,Worcester Pearmain,1st,$/kg,,,,,,,,,0.49,0.46,,,
